mode,sigma_K,accuracy_mean,accuracy_std,f1_mean,f1_std,n_seeds,mean_Rel_Delta_T_surface,mean_Rel_Max_abs_dT_dx
No averaging,0.0,1.0,0.0,1.0,0.0,1,0.80999355018487,0.40960188760536675
No averaging,0.0001,0.9512499999999999,0.03789376597806029,0.9505587121212123,0.03855397698715058,40,0.810056295802503,0.40963894375030796
No averaging,0.0002,0.8800000000000001,0.06873863542433759,0.8772980144855144,0.07153662875133507,40,0.8100903749489241,0.4096548364073781
No averaging,0.0005,0.7787499999999999,0.09413255281782175,0.7699858127983128,0.10042434286517496,40,0.8102623558502895,0.4097449657932685
No averaging,0.001,0.67,0.1023474474522936,0.6533011779886779,0.11203688511580709,40,0.8099638564866517,0.4096016840977167
No averaging,0.002,0.6300000000000001,0.09137833441248533,0.604610667110667,0.10564901795251244,40,0.8072617268221283,0.40819196062914953
No averaging,0.003,0.56125,0.1027664220453354,0.5293112616550116,0.11807030762363076,40,0.7989370226621271,0.4039763711237649
No averaging,0.005,0.47000000000000003,0.07968688725254613,0.4302243222463811,0.09263158808894388,40,0.7815639601124527,0.3950800417066957
No averaging,0.01,0.3175,0.05868347297152751,0.22365463639602573,0.08059617188790814,40,0.7121415673020437,0.359760093982542
No averaging,0.02,0.25,0.0,0.10094655797101448,0.0020081288853545567,40,0.5386544128012737,0.27192491972912947
No averaging,0.05,0.25,0.0,0.1,0.0,40,0.2391963809924591,0.1202391545825833
No averaging,0.1,0.25,0.0,0.1,0.0,40,0.1262828718525106,0.06317053030238957
No averaging,0.2,0.25,0.0,0.1,0.0,40,0.06920256032856628,0.03409802513870103
No averaging,0.5,0.25,0.0,0.1,0.0,40,0.03542773757688261,0.018335765585403462
No averaging,1.0,0.25,0.0,0.1,0.0,40,0.02417639719332875,0.015067949593075326
1 s + 1 m averaging,0.0,1.0,0.0,1.0,0.0,1,3.202381585767406,1.068350361849334
1 s + 1 m averaging,0.0001,0.9775,0.024874685927665518,0.9772727272727272,0.025125945381480302,40,3.2023905302952054,1.0683829314025008
1 s + 1 m averaging,0.0002,0.925,0.04999999999999999,0.9240498737373738,0.05091199677287125,40,3.202411283852983,1.0684175673310459
1 s + 1 m averaging,0.0005,0.8387499999999999,0.0666028340237861,0.8349051295926296,0.06948821924109766,40,3.2024183973659803,1.0685061296654914
1 s + 1 m averaging,0.001,0.77375,0.07983381175917884,0.7643217546342547,0.08616641487113995,40,3.202517178017451,1.0686685455108995
1 s + 1 m averaging,0.002,0.705,0.07968688725254613,0.6913483738483739,0.08859067107327354,40,3.2028089697305626,1.0690280870021924
1 s + 1 m averaging,0.003,0.6725,0.09350802104632522,0.6495368520368521,0.10348545903557971,40,3.202732888987266,1.0691840574906457
1 s + 1 m averaging,0.005,0.66875,0.10936607106411018,0.6507236166611167,0.12130939381984693,40,3.2026096067833207,1.0696738201478089
1 s + 1 m averaging,0.01,0.56875,0.12231491119238079,0.5400416944166945,0.13873418900707352,40,3.195343897332979,1.0680821228709232
1 s + 1 m averaging,0.02,0.52,0.10111874208078343,0.4846283577533578,0.11525973392000538,40,3.1799622184575242,1.0650345719712193
1 s + 1 m averaging,0.05,0.40875000000000006,0.07736884062721892,0.35713612368024134,0.0885417409700293,40,3.094185739448867,1.0420550327523537
1 s + 1 m averaging,0.1,0.3,0.04743416490252569,0.20086909494659108,0.062240920229279274,40,2.9113717980373623,0.9893201907003839
1 s + 1 m averaging,0.2,0.2475,0.015612494995995995,0.10400156455862979,0.005932290084690478,40,2.551869583382846,0.8824239001456731
1 s + 1 m averaging,0.5,0.25,0.0,0.1,0.0,40,1.6189595050220462,0.5892768985334141
1 s + 1 m averaging,1.0,0.25,0.0,0.1,0.0,40,0.912712626810913,0.35476981025366594
10 s + 1 m averaging,0.0,1.0,0.0,1.0,0.0,1,10.946478045289084,3.9718481173122213
10 s + 1 m averaging,0.0001,0.9974999999999999,0.010897247358851694,0.9974747474747474,0.01100732056449665,40,10.946489962885943,3.9719680292685395
10 s + 1 m averaging,0.0002,0.9949999999999999,0.015000000000000015,0.994949494949495,0.01515151515151515,40,10.946498411651527,3.9720958941678504
10 s + 1 m averaging,0.0005,0.9475,0.041758232721225155,0.9463210400710402,0.04345133793796371,40,10.946511321259857,3.9723655702398704
10 s + 1 m averaging,0.001,0.93,0.03999999999999999,0.9284075299700298,0.041726742200289324,40,10.946458586348902,3.9729444912034624
